"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3141","flujo de compra","webkit","Sat May 10 04:59:08 UTC 2025","passed","Sat May 10 04:59:11 UTC 2025","","Primera Compra.spec.ts","",""
"","369","tiene título","chromium","Sat May 10 04:59:01 UTC 2025","passed","Sat May 10 04:59:01 UTC 2025","","Primera Compra.spec.ts","",""
"","584","tiene título","webkit","Sat May 10 04:59:07 UTC 2025","passed","Sat May 10 04:59:08 UTC 2025","","Primera Compra.spec.ts","",""
"","1210","tiene título","firefox","Sat May 10 04:59:03 UTC 2025","passed","Sat May 10 04:59:04 UTC 2025","","Primera Compra.spec.ts","",""
"","1171","flujo de compra","chromium","Sat May 10 04:59:01 UTC 2025","passed","Sat May 10 04:59:02 UTC 2025","","Primera Compra.spec.ts","",""
"","1161","flujo de compra","firefox","Sat May 10 04:59:05 UTC 2025","passed","Sat May 10 04:59:06 UTC 2025","","Primera Compra.spec.ts","",""
