"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","626","tiene título","webkit","Sun Apr 27 05:08:37 UTC 2025","passed","Sun Apr 27 05:08:37 UTC 2025","","Primera Compra.spec.ts","",""
"","1148","tiene título","firefox","Sun Apr 27 05:08:32 UTC 2025","passed","Sun Apr 27 05:08:34 UTC 2025","","Primera Compra.spec.ts","",""
"","1192","flujo de compra","chromium","Sun Apr 27 05:08:31 UTC 2025","passed","Sun Apr 27 05:08:32 UTC 2025","","Primera Compra.spec.ts","",""
"","482","tiene título","chromium","Sun Apr 27 05:08:30 UTC 2025","passed","Sun Apr 27 05:08:30 UTC 2025","","Primera Compra.spec.ts","",""
"","1161","flujo de compra","firefox","Sun Apr 27 05:08:34 UTC 2025","passed","Sun Apr 27 05:08:35 UTC 2025","","Primera Compra.spec.ts","",""
"","3167","flujo de compra","webkit","Sun Apr 27 05:08:38 UTC 2025","passed","Sun Apr 27 05:08:41 UTC 2025","","Primera Compra.spec.ts","",""
